id,lead_id,type,label,value,is_primary,created_by,created_at,updated_at
1,68,phone,WhatsApp,48999993874,f,30,2025-12-12 23:07:36.741889,2025-12-12 23:07:36.741889
2,69,phone,WhatsApp,4899993874,f,30,2025-12-12 23:08:09.465797,2025-12-12 23:08:09.465797
3,77,phone,WhatsApp,4899993874,f,30,2025-12-13 12:05:29.479604,2025-12-13 12:05:29.479604
4,85,phone,,48999993874,f,30,2025-12-13 12:59:41.059759,2025-12-13 12:59:41.059759
5,86,phone,,4899993874,f,30,2025-12-13 13:00:31.21623,2025-12-13 13:00:31.21623
6,89,phone,,4899993874,f,30,2025-12-13 15:37:43.798898,2025-12-13 15:37:43.798898
7,90,phone,,4899993874,f,30,2025-12-13 16:08:10.809624,2025-12-13 16:08:10.809624
8,91,phone,,4899993874,f,30,2025-12-13 16:08:52.788223,2025-12-13 16:08:52.788223
9,92,phone,,48999993874,f,30,2025-12-13 16:12:23.278997,2025-12-13 16:12:23.278997
10,93,phone,,4899993874,f,30,2025-12-13 16:14:24.508904,2025-12-13 16:14:24.508904
11,93,phone,,489999999,f,30,2025-12-13 16:15:04.678082,2025-12-13 16:15:04.678082
12,94,phone,,4899993874,f,30,2025-12-13 16:15:42.46943,2025-12-13 16:15:42.46943
13,95,phone,,48999993874,f,30,2025-12-13 16:22:17.218258,2025-12-13 16:22:17.218258
14,96,phone,,48999993874,f,30,2025-12-13 16:30:41.354673,2025-12-13 16:30:41.354673
15,99,phone,,4899993874,f,30,2025-12-13 16:46:11.720481,2025-12-13 16:46:11.720481
16,100,phone,,489999999,f,30,2025-12-13 17:17:39.717029,2025-12-13 17:17:39.717029
17,101,phone,,4899993874,f,30,2025-12-13 17:53:36.82951,2025-12-13 17:53:36.82951
18,103,phone,,4890000,f,30,2025-12-13 17:54:03.498147,2025-12-13 17:54:03.498147
